state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price,modal_price_per_kg
Karnataka,Mandya,Maddur APMC Sub-Market,Papaya,Red Lady Organic,Grade A,2026-09-01,1720.0,3060.0,2390.0,23.9
Karnataka,Mandya,Maddur APMC Sub-Market,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,7470.0,13450.0,10460.0,104.6
Karnataka,Mandya,Maddur APMC Sub-Market,Ragi,Organic Whole Grain,Grade A,2026-09-01,3130.0,4690.0,3910.0,39.1
Karnataka,Mandya,Maddur APMC Sub-Market,Rice,Sona Masuri Heritage,Grade A,2026-09-01,4280.0,6620.0,5300.0,53.0
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Tomato,Hybrid / Nati,Grade A,2026-09-01,1600.0,2850.0,2230.0,22.3
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Potato,Hassan / Local,Grade A,2026-09-01,1310.0,2250.0,1780.0,17.8
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Onion,Bellary / Red,Grade A,2026-09-01,2020.0,3490.0,2750.0,27.5
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Carrot,Ooty / Orange,Grade A+,2026-09-01,2740.0,4700.0,3720.0,37.2
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Cabbage,Green Round,Grade A,2026-09-01,1080.0,2170.0,1580.0,15.8
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Green Peas,Tender Sweet,Grade A+,2026-09-01,4000.0,6670.0,5340.0,53.4
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3380.0,5790.0,4630.0,46.3
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Green Chilli,G4 Pungent,Grade A,2026-09-01,2230.0,4270.0,3250.0,32.5
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Palak,Tender Leafy,Grade A+,2026-09-01,1230.0,2250.0,1740.0,17.4
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Coriander,Local Nati,Grade A+,2026-09-01,1010.0,1820.0,1410.0,14.1
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Ginger,Washed Root,Grade A,2026-09-01,5170.0,8930.0,7050.0,70.5
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Banana,Elakki / Nendran,Grade A+,2026-09-01,2490.0,4390.0,3390.0,33.9
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Papaya,Red Lady Organic,Grade A,2026-09-01,1750.0,3120.0,2440.0,24.4
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,6790.0,12220.0,9500.0,95.0
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Grapes,Bangalore Blue,Grade A+,2026-09-01,4470.0,7600.0,6080.0,60.8
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Ragi,Organic Whole Grain,Grade A,2026-09-01,3160.0,4750.0,3960.0,39.6
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Rice,Sona Masuri Heritage,Grade A,2026-09-01,4070.0,6300.0,5040.0,50.4
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Tomato,Hybrid / Nati,Grade A,2026-09-01,1810.0,3210.0,2510.0,25.1
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Potato,Hassan / Local,Grade A,2026-09-01,1370.0,2350.0,1860.0,18.6
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Onion,Bellary / Red,Grade A,2026-09-01,2110.0,3640.0,2880.0,28.8
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Cabbage,Green Round,Grade A,2026-09-01,1060.0,2110.0,1540.0,15.4
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Green Peas,Tender Sweet,Grade A+,2026-09-01,4150.0,6910.0,5530.0,55.3
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3160.0,5420.0,4340.0,43.4
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Palak,Tender Leafy,Grade A+,2026-09-01,1090.0,2000.0,1550.0,15.5
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Coriander,Local Nati,Grade A+,2026-09-01,940.0,1690.0,1310.0,13.1
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Mint,Fresh Pudina,Grade A+,2026-09-01,1020.0,1860.0,1400.0,14.0
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Ginger,Washed Root,Grade A,2026-09-01,5540.0,9560.0,7550.0,75.5
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Garlic,Country Dried,Grade A,2026-09-01,6620.0,11830.0,9270.0,92.7
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Banana,Elakki / Nendran,Grade A+,2026-09-01,2380.0,4190.0,3240.0,32.4
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,7580.0,13640.0,10610.0,106.1
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Grapes,Bangalore Blue,Grade A+,2026-09-01,4720.0,8020.0,6420.0,64.2
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Ragi,Organic Whole Grain,Grade A,2026-09-01,2970.0,4460.0,3710.0,37.1
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Rice,Sona Masuri Heritage,Grade A,2026-09-01,3880.0,6010.0,4810.0,48.1
Karnataka,Ramanagara,Channapatna APMC Yard,Tomato,Hybrid / Nati,Grade A,2026-09-01,1820.0,3240.0,2530.0,25.3
Karnataka,Ramanagara,Channapatna APMC Yard,Potato,Hassan / Local,Grade A,2026-09-01,1380.0,2370.0,1870.0,18.7
Karnataka,Ramanagara,Channapatna APMC Yard,Carrot,Ooty / Orange,Grade A+,2026-09-01,2690.0,4610.0,3650.0,36.5
Karnataka,Ramanagara,Channapatna APMC Yard,Cabbage,Green Round,Grade A,2026-09-01,1000.0,2000.0,1450.0,14.5
Karnataka,Ramanagara,Channapatna APMC Yard,Green Peas,Tender Sweet,Grade A+,2026-09-01,4300.0,7170.0,5740.0,57.4
Karnataka,Ramanagara,Channapatna APMC Yard,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3470.0,5950.0,4760.0,47.6
Karnataka,Ramanagara,Channapatna APMC Yard,Green Chilli,G4 Pungent,Grade A,2026-09-01,2030.0,3870.0,2950.0,29.5
Karnataka,Ramanagara,Channapatna APMC Yard,Palak,Tender Leafy,Grade A+,2026-09-01,1050.0,1930.0,1490.0,14.9
Karnataka,Ramanagara,Channapatna APMC Yard,Coriander,Local Nati,Grade A+,2026-09-01,930.0,1680.0,1300.0,13.0
Karnataka,Ramanagara,Channapatna APMC Yard,Mint,Fresh Pudina,Grade A+,2026-09-01,1130.0,2050.0,1540.0,15.4
Karnataka,Ramanagara,Channapatna APMC Yard,Ginger,Washed Root,Grade A,2026-09-01,4950.0,8550.0,6750.0,67.5
Karnataka,Ramanagara,Channapatna APMC Yard,Garlic,Country Dried,Grade A,2026-09-01,6920.0,12360.0,9690.0,96.9
Karnataka,Ramanagara,Channapatna APMC Yard,Banana,Elakki / Nendran,Grade A+,2026-09-01,2520.0,4430.0,3420.0,34.2
Karnataka,Ramanagara,Channapatna APMC Yard,Papaya,Red Lady Organic,Grade A,2026-09-01,1650.0,2940.0,2300.0,23.0
Karnataka,Ramanagara,Channapatna APMC Yard,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,7040.0,12660.0,9850.0,98.5
Karnataka,Ramanagara,Channapatna APMC Yard,Grapes,Bangalore Blue,Grade A+,2026-09-01,4780.0,8130.0,6510.0,65.1
Karnataka,Ramanagara,Channapatna APMC Yard,Rice,Sona Masuri Heritage,Grade A,2026-09-01,4290.0,6640.0,5310.0,53.1
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Tomato,Hybrid / Nati,Grade A,2026-09-01,1960.0,3490.0,2720.0,27.2
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Potato,Hassan / Local,Grade A,2026-09-01,1510.0,2590.0,2050.0,20.5
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Onion,Bellary / Red,Grade A,2026-09-01,2240.0,3870.0,3060.0,30.6
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Carrot,Ooty / Orange,Grade A+,2026-09-01,3010.0,5160.0,4090.0,40.9
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Cabbage,Green Round,Grade A,2026-09-01,1110.0,2220.0,1610.0,16.1
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Green Peas,Tender Sweet,Grade A+,2026-09-01,4980.0,8300.0,6640.0,66.4
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3530.0,6050.0,4840.0,48.4
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Green Chilli,G4 Pungent,Grade A,2026-09-01,2370.0,4520.0,3450.0,34.5
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Palak,Tender Leafy,Grade A+,2026-09-01,1180.0,2160.0,1670.0,16.7
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Mint,Fresh Pudina,Grade A+,2026-09-01,1060.0,1930.0,1440.0,14.4
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Ginger,Washed Root,Grade A,2026-09-01,5870.0,10140.0,8010.0,80.1
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Garlic,Country Dried,Grade A,2026-09-01,7110.0,12700.0,9960.0,99.6
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Banana,Elakki / Nendran,Grade A+,2026-09-01,2510.0,4420.0,3410.0,34.1
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Papaya,Red Lady Organic,Grade A,2026-09-01,1960.0,3480.0,2720.0,27.2
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,7840.0,14110.0,10970.0,109.7
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Grapes,Bangalore Blue,Grade A+,2026-09-01,4890.0,8310.0,6650.0,66.5
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Ragi,Organic Whole Grain,Grade A,2026-09-01,3480.0,5210.0,4340.0,43.4
Karnataka,Bengaluru Urban,Yeshwanthpur APMC Yard,Rice,Sona Masuri Heritage,Grade A,2026-09-01,4360.0,6750.0,5400.0,54.0
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Tomato,Hybrid / Nati,Grade A,2026-09-01,1960.0,3490.0,2730.0,27.3
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Potato,Hassan / Local,Grade A,2026-09-01,1390.0,2380.0,1890.0,18.9
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Onion,Bellary / Red,Grade A,2026-09-01,2280.0,3930.0,3100.0,31.0
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Carrot,Ooty / Orange,Grade A+,2026-09-01,3100.0,5310.0,4200.0,42.0
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Cabbage,Green Round,Grade A,2026-09-01,1150.0,2310.0,1680.0,16.8
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Green Peas,Tender Sweet,Grade A+,2026-09-01,4780.0,7970.0,6370.0,63.7
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Green Capsicum,Polyhouse Bell,Grade A+,2026-09-01,3580.0,6140.0,4910.0,49.1
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Green Chilli,G4 Pungent,Grade A,2026-09-01,2340.0,4470.0,3410.0,34.1
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Mint,Fresh Pudina,Grade A+,2026-09-01,1200.0,2170.0,1630.0,16.3
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Ginger,Washed Root,Grade A,2026-09-01,5670.0,9800.0,7730.0,77.3
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Banana,Elakki / Nendran,Grade A+,2026-09-01,2710.0,4760.0,3680.0,36.8
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Papaya,Red Lady Organic,Grade A,2026-09-01,1770.0,3150.0,2460.0,24.6
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Pomegranate,Bhagwa / Ruby,Grade A+,2026-09-01,7570.0,13620.0,10590.0,105.9
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Grapes,Bangalore Blue,Grade A+,2026-09-01,4950.0,8410.0,6730.0,67.3
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Ragi,Organic Whole Grain,Grade A,2026-09-01,3520.0,5280.0,4400.0,44.0
Karnataka,Bengaluru Urban,Binny Mill / Kalasipalyam Wholesale Mandi,Rice,Sona Masuri Heritage,Grade A,2026-09-01,4100.0,6350.0,5080.0,50.8
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Tomato,Hybrid / Nati,Grade A,2026-09-01,1850.0,3290.0,2570.0,25.7
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Potato,Hassan / Local,Grade A,2026-09-01,1460.0,2500.0,1980.0,19.8
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Onion,Bellary / Red,Grade A,2026-09-01,2320.0,4000.0,3160.0,31.6
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Carrot,Ooty / Orange,Grade A+,2026-09-01,2690.0,4610.0,3650.0,36.5
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Cabbage,Green Round,Grade A,2026-09-01,1160.0,2330.0,1690.0,16.9
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Green Peas,Tender Sweet,Grade A+,2026-09-01,4480.0,7470.0,5970.0,59.7
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Coriander,Local Nati,Grade A+,2026-09-01,1040.0,1870.0,1460.0,14.6
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Mint,Fresh Pudina,Grade A+,2026-09-01,1120.0,2040.0,1530.0,15.3
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Ginger,Washed Root,Grade A,2026-09-01,5860.0,10120.0,7990.0,79.9
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Banana,Elakki / Nendran,Grade A+,2026-09-01,2600.0,4580.0,3540.0,35.4
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Papaya,Red Lady Organic,Grade A,2026-09-01,1880.0,3340.0,2610.0,26.1
Karnataka,Bengaluru Rural,Devanahalli Agro Mandi,Grapes,Bangalore Blue,Grade A+,2026-09-01,5450.0,9260.0,7410.0,74.1
Karnataka,Mandya,Mandya APMC Main Yard,Tomato,Hybrid / Nati,Grade A,2026-08-31,1760.0,3140.0,2450.0,24.5
Karnataka,Mandya,Mandya APMC Main Yard,Potato,Hassan / Local,Grade A,2026-08-31,1330.0,2280.0,1810.0,18.1
Karnataka,Mandya,Mandya APMC Main Yard,Onion,Bellary / Red,Grade A,2026-08-31,2110.0,3650.0,2880.0,28.8
Karnataka,Mandya,Mandya APMC Main Yard,Carrot,Ooty / Orange,Grade A+,2026-08-31,2630.0,4510.0,3570.0,35.7
Karnataka,Mandya,Mandya APMC Main Yard,Cabbage,Green Round,Grade A,2026-08-31,1050.0,2100.0,1530.0,15.3
Karnataka,Mandya,Mandya APMC Main Yard,Green Capsicum,Polyhouse Bell,Grade A+,2026-08-31,3260.0,5590.0,4470.0,44.7
Karnataka,Mandya,Mandya APMC Main Yard,Green Chilli,G4 Pungent,Grade A,2026-08-31,2160.0,4120.0,3140.0,31.4
Karnataka,Mandya,Mandya APMC Main Yard,Coriander,Local Nati,Grade A+,2026-08-31,950.0,1710.0,1330.0,13.3
Karnataka,Mandya,Mandya APMC Main Yard,Mint,Fresh Pudina,Grade A+,2026-08-31,1030.0,1870.0,1410.0,14.1
Karnataka,Mandya,Mandya APMC Main Yard,Ginger,Washed Root,Grade A,2026-08-31,4920.0,8490.0,6700.0,67.0
Karnataka,Mandya,Mandya APMC Main Yard,Garlic,Country Dried,Grade A,2026-08-31,6750.0,12060.0,9450.0,94.5
Karnataka,Mandya,Mandya APMC Main Yard,Banana,Elakki / Nendran,Grade A+,2026-08-31,2370.0,4180.0,3230.0,32.3
Karnataka,Mandya,Mandya APMC Main Yard,Papaya,Red Lady Organic,Grade A,2026-08-31,1820.0,3240.0,2530.0,25.3
Karnataka,Mandya,Mandya APMC Main Yard,Pomegranate,Bhagwa / Ruby,Grade A+,2026-08-31,6740.0,12130.0,9430.0,94.3
Karnataka,Mandya,Mandya APMC Main Yard,Grapes,Bangalore Blue,Grade A+,2026-08-31,5120.0,8700.0,6960.0,69.6
Karnataka,Mandya,Mandya APMC Main Yard,Rice,Sona Masuri Heritage,Grade A,2026-08-31,4340.0,6720.0,5380.0,53.8
Karnataka,Mandya,Maddur APMC Sub-Market,Tomato,Hybrid / Nati,Grade A,2026-08-31,1820.0,3240.0,2530.0,25.3
Karnataka,Mandya,Maddur APMC Sub-Market,Potato,Hassan / Local,Grade A,2026-08-31,1370.0,2360.0,1870.0,18.7
Karnataka,Mandya,Maddur APMC Sub-Market,Onion,Bellary / Red,Grade A,2026-08-31,2040.0,3520.0,2780.0,27.8
Karnataka,Mandya,Maddur APMC Sub-Market,Carrot,Ooty / Orange,Grade A+,2026-08-31,2920.0,5010.0,3960.0,39.6
Karnataka,Mandya,Maddur APMC Sub-Market,Cabbage,Green Round,Grade A,2026-08-31,1080.0,2160.0,1570.0,15.7
Karnataka,Mandya,Maddur APMC Sub-Market,Green Peas,Tender Sweet,Grade A+,2026-08-31,4340.0,7230.0,5780.0,57.8
Karnataka,Mandya,Maddur APMC Sub-Market,Green Capsicum,Polyhouse Bell,Grade A+,2026-08-31,3410.0,5850.0,4680.0,46.8
Karnataka,Mandya,Maddur APMC Sub-Market,Green Chilli,G4 Pungent,Grade A,2026-08-31,2260.0,4320.0,3290.0,32.9
Karnataka,Mandya,Maddur APMC Sub-Market,Palak,Tender Leafy,Grade A+,2026-08-31,1130.0,2060.0,1590.0,15.9
Karnataka,Mandya,Maddur APMC Sub-Market,Coriander,Local Nati,Grade A+,2026-08-31,980.0,1760.0,1370.0,13.7
Karnataka,Mandya,Maddur APMC Sub-Market,Mint,Fresh Pudina,Grade A+,2026-08-31,1130.0,2050.0,1540.0,15.4
Karnataka,Mandya,Maddur APMC Sub-Market,Ginger,Washed Root,Grade A,2026-08-31,5290.0,9140.0,7220.0,72.2
Karnataka,Mandya,Maddur APMC Sub-Market,Garlic,Country Dried,Grade A,2026-08-31,6510.0,11630.0,9120.0,91.2
Karnataka,Mandya,Maddur APMC Sub-Market,Banana,Elakki / Nendran,Grade A+,2026-08-31,2330.0,4100.0,3170.0,31.7
Karnataka,Mandya,Maddur APMC Sub-Market,Papaya,Red Lady Organic,Grade A,2026-08-31,1800.0,3210.0,2510.0,25.1
Karnataka,Mandya,Maddur APMC Sub-Market,Pomegranate,Bhagwa / Ruby,Grade A+,2026-08-31,6930.0,12480.0,9710.0,97.1
Karnataka,Mandya,Maddur APMC Sub-Market,Grapes,Bangalore Blue,Grade A+,2026-08-31,4520.0,7690.0,6150.0,61.5
Karnataka,Mandya,Maddur APMC Sub-Market,Ragi,Organic Whole Grain,Grade A,2026-08-31,3320.0,4980.0,4150.0,41.5
Karnataka,Mandya,Maddur APMC Sub-Market,Rice,Sona Masuri Heritage,Grade A,2026-08-31,4090.0,6320.0,5060.0,50.6
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Potato,Hassan / Local,Grade A,2026-08-31,1350.0,2320.0,1840.0,18.4
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Onion,Bellary / Red,Grade A,2026-08-31,1980.0,3420.0,2700.0,27.0
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Carrot,Ooty / Orange,Grade A+,2026-08-31,2570.0,4410.0,3490.0,34.9
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Cabbage,Green Round,Grade A,2026-08-31,1010.0,2020.0,1470.0,14.7
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Green Peas,Tender Sweet,Grade A+,2026-08-31,4440.0,7400.0,5920.0,59.2
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Green Capsicum,Polyhouse Bell,Grade A+,2026-08-31,3150.0,5400.0,4320.0,43.2
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Green Chilli,G4 Pungent,Grade A,2026-08-31,2140.0,4080.0,3110.0,31.1
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Palak,Tender Leafy,Grade A+,2026-08-31,1240.0,2280.0,1760.0,17.6
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Coriander,Local Nati,Grade A+,2026-08-31,950.0,1710.0,1330.0,13.3
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Mint,Fresh Pudina,Grade A+,2026-08-31,980.0,1790.0,1340.0,13.4
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Ginger,Washed Root,Grade A,2026-08-31,5650.0,9760.0,7700.0,77.0
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Garlic,Country Dried,Grade A,2026-08-31,7230.0,12900.0,10120.0,101.2
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Banana,Elakki / Nendran,Grade A+,2026-08-31,2440.0,4290.0,3310.0,33.1
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Pomegranate,Bhagwa / Ruby,Grade A+,2026-08-31,6830.0,12290.0,9560.0,95.6
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Grapes,Bangalore Blue,Grade A+,2026-08-31,4630.0,7860.0,6290.0,62.9
Karnataka,Mandya,Srirangapatna Vegetable Mandi,Ragi,Organic Whole Grain,Grade A,2026-08-31,3210.0,4820.0,4020.0,40.2
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Tomato,Hybrid / Nati,Grade A,2026-08-31,1760.0,3130.0,2450.0,24.5
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Potato,Hassan / Local,Grade A,2026-08-31,1400.0,2410.0,1900.0,19.0
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Carrot,Ooty / Orange,Grade A+,2026-08-31,2590.0,4430.0,3510.0,35.1
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Cabbage,Green Round,Grade A,2026-08-31,1050.0,2100.0,1530.0,15.3
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Green Capsicum,Polyhouse Bell,Grade A+,2026-08-31,3290.0,5640.0,4510.0,45.1
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Green Chilli,G4 Pungent,Grade A,2026-08-31,1980.0,3780.0,2880.0,28.8
Karnataka,Ramanagara,Ramanagara Silk & Agro APMC,Palak,Tender Leafy,Grade A+,2026-08-31,1220.0,2230.0,1720.0,17.2
