,Banana,Cabbage,Carrot,Coriander,Garlic,Ginger,Grapes,Green Capsicum,Green Chilli,Green Peas,Mint,Onion,Palak,Papaya,Pomegranate,Potato,Ragi,Rice,Tomato
4cd53847-8857-4983-ab6f-bbf44a1f863e,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,19.0,3.0,10.0,20.0
4ce2d3cb-b864-40e5-96a5-3e0877928c39,0.0,0.0,14.0,7.0,0.0,0.0,4.0,0.0,8.0,14.0,0.0,20.0,0.0,0.0,0.0,14.0,3.0,3.0,19.0
4fb3055e-a3e6-409f-b75b-aa457c4a89bd,6.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,6.0,8.0,0.0,0.0,0.0,14.0
5146f581-8c3c-4ddb-a6bf-90392f31cff7,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,17.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0
56422f53-2ae2-4b6f-b750-b63ee1e07845,0.0,0.0,15.0,4.0,4.0,4.0,0.0,4.0,3.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0
5f4c1d64-d133-4c66-89bc-b35ad29e17b8,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,15.0
60bce0c4-e075-416e-b530-453c6922b587,0.0,0.0,0.0,14.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,16.0
62e301a3-cc55-44ee-8d66-0cdb6a5d0c0d,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,10.0,10.0,0.0,0.0,0.0,3.0
6a46c140-d217-4b21-a864-dcc86a03328e,0.0,0.0,0.0,11.0,12.0,12.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0
6b34b498-54a0-4051-903e-b9197aa9de94,0.0,0.0,4.0,13.0,12.0,15.0,0.0,0.0,12.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0
6cc675f4-9587-41d6-91e3-899f396beab1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,4.0,3.0,10.0,0.0,3.0,12.0
6d807f3a-a6f7-4bd1-9559-7d534e353dc6,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,7.0,0.0,0.0,4.0,4.0,0.0,10.0
6e8429bb-4b3a-4f9f-90fd-1714a5be004d,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,21.0,22.0,0.0,3.0,0.0,0.0
7035b887-e0d1-4c02-af63-02688ffbb884,4.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,6.0
70891974-6c4a-456b-a56c-3684d6d94556,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,8.0
72ecbbbb-d28d-4a25-96a1-984662445dc9,0.0,0.0,4.0,7.0,7.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0
73f3bb61-7aac-49e3-af05-f2dd383f2102,0.0,0.0,10.0,4.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,10.0
74293659-a2ab-4c3c-8f72-343b020d30cd,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,14.0,0.0,0.0,0.0,11.0,0.0,0.0,12.0
79543249-aeb7-447d-9725-94352e05d41c,13.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,14.0,0.0,0.0,0.0,3.0,0.0,4.0
7d95baf6-9014-479f-825c-8329b36563da,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,14.0,0.0,0.0,6.0,0.0,4.0,20.0
7da7a7d5-e468-4f10-a91c-c07fd503dc72,3.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0
7f86a08d-6dd5-4fe9-9472-d02c920c1ff3,12.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,7.0,0.0,3.0,6.0
83cf8df8-0344-41ec-a14f-761cb61a2216,0.0,4.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0
83ef1d8a-fe41-4801-b538-6bb6b990fabd,0.0,0.0,13.0,0.0,0.0,0.0,4.0,4.0,0.0,10.0,0.0,12.0,3.0,0.0,0.0,9.0,0.0,0.0,14.0
8408401e-694d-4008-bd1a-d0d90d78d6f5,0.0,0.0,0.0,14.0,10.0,11.0,6.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0
8a27105f-d9e0-49ad-84fc-41ff5c010769,15.0,3.0,0.0,4.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,12.0,14.0,0.0,0.0,0.0,4.0
8b9f7985-5ef6-485d-959c-fd171563bb8a,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,11.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
8db95983-f362-4452-a960-11964662f0bf,6.0,0.0,10.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,0.0,3.0
8e5d4ae9-8fb2-45af-aae1-40e41e752b6e,0.0,0.0,0.0,20.0,3.0,4.0,0.0,0.0,16.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
919278a5-6e46-4b47-9a6b-d4022e747c9f,11.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
94141fff-971c-4f52-8395-528bde27315a,9.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,3.0,0.0,10.0,10.0,4.0,0.0,3.0,3.0
95381c19-145e-4e11-ab3f-3555b2a07941,11.0,3.0,9.0,9.0,11.0,12.0,4.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
96ff7a29-0702-4bf2-a51e-c30b5063cf7e,13.0,3.0,0.0,7.0,6.0,7.0,3.0,0.0,7.0,0.0,3.0,0.0,0.0,12.0,15.0,0.0,4.0,0.0,0.0
980bcd07-414b-453e-9d08-9192eb3691d7,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
98306353-57df-4dac-89d8-6435f4d3fb6a,0.0,3.0,8.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0
9a5217aa-9f63-4c33-a507-b5fcd2e8ffdf,10.0,0.0,0.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,10.0,0.0,0.0,0.0,3.0
9f45ad9e-b71e-4c60-9339-d23440eeb9ec,0.0,0.0,4.0,10.0,11.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0
9f9b965f-1f61-4e93-9afb-80390aafca75,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,6.0,10.0
a2b79504-3575-4d94-9af6-c8b119b11e3c,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,18.0
a48897e5-afe2-4878-9f39-28e08c18ddcb,0.0,0.0,0.0,16.0,16.0,17.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ad765317-0ae5-4394-9861-e51d92a1fcc6,0.0,0.0,0.0,23.0,14.0,13.0,0.0,0.0,20.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
ade771d7-33ad-4f40-b456-f0a9fee988ff,10.0,0.0,9.0,10.0,0.0,0.0,0.0,10.0,11.0,0.0,3.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0
b09d5ed6-293f-4eb8-8466-17829480dcad,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,0.0,0.0,3.0,0.0,0.0,18.0
b1ba019f-b1ec-4fca-ba4f-a5214a80c769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,18.0,3.0,0.0,16.0
bcfcf609-ddfe-447a-98fc-c66e9233f0b4,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,11.0,0.0,0.0,11.0
c10ab049-f2a7-46b2-b4fb-24d4a0618ba0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,14.0,3.0,0.0,14.0
c115ff2f-0c98-4983-bf03-167384d2903e,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0
c3df3a50-2251-45a6-883f-032b8033f52e,6.0,0.0,7.0,13.0,14.0,13.0,4.0,0.0,14.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0
c5863af9-c9cd-463d-94a8-8e69adf4f214,10.0,0.0,10.0,10.0,11.0,12.0,0.0,11.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,11.0
c6c9aed7-1f10-439d-88ec-8f5b1b4f748f,0.0,0.0,0.0,14.0,0.0,0.0,4.0,4.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,4.0,16.0
cb2e8316-e933-46d4-bc5c-faec0025b694,13.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.0,0.0
d3decbad-0acb-4217-99cd-e65ee1a9a9d3,0.0,0.0,7.0,10.0,9.0,9.0,0.0,0.0,11.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0
d42e4be4-b29c-47fe-a1b3-8255948344ac,0.0,4.0,3.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,18.0,4.0,0.0,0.0,0.0,3.0,0.0,20.0
d4948ab5-15b7-42a9-a4d8-4c92da1b486c,9.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
d6a9e0ef-4132-46ef-a0f7-d7997a803afe,6.0,0.0,8.0,3.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
db1b9299-96df-4fd8-932c-3ad6613bc967,14.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0
db2f9e6e-c99d-4f6e-8640-8a7f9ee121bc,6.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,7.0,8.0,3.0,0.0,0.0,3.0
dd14762c-0ed4-4d5f-aaf3-fded6c619888,4.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,8.0,0.0,4.0,3.0,7.0,0.0,0.0,7.0
de21c2a0-a0e1-4757-a095-0016eb816242,7.0,0.0,6.0,3.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
e47d2dca-4d7f-4788-8ee9-e5c35611e94b,10.0,4.0,12.0,4.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
ef4899c4-bfed-4167-8c46-2982a90da36a,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,4.0,21.0
f0727e5c-5d1e-4ea7-aa00-d6053f839ba3,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,6.0,0.0,0.0,7.0
f308caa4-09a7-467f-8beb-1b6ccce38d25,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,11.0,0.0,3.0,0.0,4.0
f3fa5f28-5d69-41fc-a0e8-369ed44442f3,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,17.0
f4dee32c-e6d8-4c67-95a9-f63a4e41f5e8,0.0,0.0,7.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,4.0,14.0
f527b464-7bb9-45da-bb4d-5aab19eb4f9a,0.0,0.0,0.0,12.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,17.0
f685a52e-f09f-45e3-b296-668bbb414f9f,0.0,0.0,0.0,19.0,19.0,20.0,3.0,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0
f6fcd7a9-a8f0-457c-b9f3-018c8b01391b,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,17.0,0.0,0.0,0.0,17.0,3.0,0.0,16.0
f8eb34db-1687-4a4b-802f-8c5bdb2bce45,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,3.0,4.0,0.0,3.0,0.0,6.0
f93c5b61-46df-44b0-a718-571307f2d308,17.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,4.0,0.0
fae7e454-f146-44cd-a680-3dfc2879df45,0.0,0.0,0.0,9.0,10.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
fc58c463-84fd-4548-9e91-513ebe48d753,16.0,3.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0
fc895620-c446-471c-972e-18f4ce979e28,0.0,0.0,0.0,15.0,14.0,14.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
fc932934-07d4-4feb-bf60-af1355a4a785,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,3.0,0.0,0.0,11.0,3.0,0.0,11.0
