,06cbec87-9334-4ba7-98dd-3153ec769b66,081e8113-878b-4022-8cdf-0bfc6dda5167,22ad31f1-df1a-4f97-8257-b9b75387027c,2434510b-4b97-4d29-92d1-a8c111c4d0b8,2452f2d6-197b-45dd-ab0a-992a1ab8cccf,2553a9ec-9e91-4594-92cb-e95a45580b2c,2631bbc2-340f-4a9a-a752-4cec04e400d2,2bb1023a-5b81-4303-93bc-cb12a3d235c1,2cf4a458-4875-48b9-a84f-9b99b9d0a431,2d5f4ff2-140c-462a-8b95-5a76ea34ecfc,2e323422-ea44-449d-9be7-c0c560a0f2e1,300ccb51-269e-4dad-bbd7-bc4d6f1214bf,31029486-3cd3-4020-ad98-4aff05d029d1,331a2b18-7771-4c8f-babb-5457498c239b,37bb059b-5e8d-42e0-9849-022dce333f74,389a7839-5278-4984-bbc6-7d40b80eec74,3d14145a-752d-4dd5-907f-f375242af193,3e64ba62-388a-44c4-9030-88a74444d90a,3fe7f558-21bf-4ff6-8746-47c0323cafb0,415c5186-549e-44e9-9132-6d158175f5c1,4389ea33-33a4-4982-a079-831f1db05fe0,43d36f77-a78c-4e8e-bc41-245cc7f02ef2,4474409e-95f6-4e6c-b07f-8ea510b81e90,46ed7332-a6b6-4f08-ae6b-4ce2687249fc,47627f78-25a8-49b8-baed-67cc7cb51cc3,4be287a3-4af7-4b0f-93da-1215dbbe7007,4cd53847-8857-4983-ab6f-bbf44a1f863e,4ce2d3cb-b864-40e5-96a5-3e0877928c39,4fb3055e-a3e6-409f-b75b-aa457c4a89bd,5146f581-8c3c-4ddb-a6bf-90392f31cff7,56422f53-2ae2-4b6f-b750-b63ee1e07845,5f4c1d64-d133-4c66-89bc-b35ad29e17b8,60bce0c4-e075-416e-b530-453c6922b587,62e301a3-cc55-44ee-8d66-0cdb6a5d0c0d,6a46c140-d217-4b21-a864-dcc86a03328e,6b34b498-54a0-4051-903e-b9197aa9de94,6cc675f4-9587-41d6-91e3-899f396beab1,6d807f3a-a6f7-4bd1-9559-7d534e353dc6,6e8429bb-4b3a-4f9f-90fd-1714a5be004d,7035b887-e0d1-4c02-af63-02688ffbb884,70891974-6c4a-456b-a56c-3684d6d94556,72ecbbbb-d28d-4a25-96a1-984662445dc9,73f3bb61-7aac-49e3-af05-f2dd383f2102,74293659-a2ab-4c3c-8f72-343b020d30cd,79543249-aeb7-447d-9725-94352e05d41c,7d95baf6-9014-479f-825c-8329b36563da,7da7a7d5-e468-4f10-a91c-c07fd503dc72,7f86a08d-6dd5-4fe9-9472-d02c920c1ff3,83cf8df8-0344-41ec-a14f-761cb61a2216,83ef1d8a-fe41-4801-b538-6bb6b990fabd,8408401e-694d-4008-bd1a-d0d90d78d6f5,8a27105f-d9e0-49ad-84fc-41ff5c010769,8b9f7985-5ef6-485d-959c-fd171563bb8a,8db95983-f362-4452-a960-11964662f0bf,8e5d4ae9-8fb2-45af-aae1-40e41e752b6e,919278a5-6e46-4b47-9a6b-d4022e747c9f,94141fff-971c-4f52-8395-528bde27315a,95381c19-145e-4e11-ab3f-3555b2a07941,96ff7a29-0702-4bf2-a51e-c30b5063cf7e,980bcd07-414b-453e-9d08-9192eb3691d7,98306353-57df-4dac-89d8-6435f4d3fb6a,9a5217aa-9f63-4c33-a507-b5fcd2e8ffdf,9f45ad9e-b71e-4c60-9339-d23440eeb9ec,9f9b965f-1f61-4e93-9afb-80390aafca75,a2b79504-3575-4d94-9af6-c8b119b11e3c,a48897e5-afe2-4878-9f39-28e08c18ddcb,ad765317-0ae5-4394-9861-e51d92a1fcc6,ade771d7-33ad-4f40-b456-f0a9fee988ff,b09d5ed6-293f-4eb8-8466-17829480dcad,b1ba019f-b1ec-4fca-ba4f-a5214a80c769,bcfcf609-ddfe-447a-98fc-c66e9233f0b4,c10ab049-f2a7-46b2-b4fb-24d4a0618ba0,c115ff2f-0c98-4983-bf03-167384d2903e,c3df3a50-2251-45a6-883f-032b8033f52e,c5863af9-c9cd-463d-94a8-8e69adf4f214,c6c9aed7-1f10-439d-88ec-8f5b1b4f748f,cb2e8316-e933-46d4-bc5c-faec0025b694,d3decbad-0acb-4217-99cd-e65ee1a9a9d3,d42e4be4-b29c-47fe-a1b3-8255948344ac,d4948ab5-15b7-42a9-a4d8-4c92da1b486c,d6a9e0ef-4132-46ef-a0f7-d7997a803afe,db1b9299-96df-4fd8-932c-3ad6613bc967,db2f9e6e-c99d-4f6e-8640-8a7f9ee121bc,dd14762c-0ed4-4d5f-aaf3-fded6c619888,de21c2a0-a0e1-4757-a095-0016eb816242,e47d2dca-4d7f-4788-8ee9-e5c35611e94b,ef4899c4-bfed-4167-8c46-2982a90da36a,f0727e5c-5d1e-4ea7-aa00-d6053f839ba3,f308caa4-09a7-467f-8beb-1b6ccce38d25,f3fa5f28-5d69-41fc-a0e8-369ed44442f3,f4dee32c-e6d8-4c67-95a9-f63a4e41f5e8,f527b464-7bb9-45da-bb4d-5aab19eb4f9a,f685a52e-f09f-45e3-b296-668bbb414f9f,f6fcd7a9-a8f0-457c-b9f3-018c8b01391b,f8eb34db-1687-4a4b-802f-8c5bdb2bce45,f93c5b61-46df-44b0-a718-571307f2d308,fae7e454-f146-44cd-a680-3dfc2879df45,fc58c463-84fd-4548-9e91-513ebe48d753,fc895620-c446-471c-972e-18f4ce979e28,fc932934-07d4-4feb-bf60-af1355a4a785
2e323422-ea44-449d-9be7-c0c560a0f2e1,0.13623795,0.96205264,0.0,0.4169341,0.8194138,0.9421954,0.3509435,0.7845273,0.09690796,0.6373517,0.9999999,0.12270031,0.16963151,0.8609568,0.31587273,0.08842595,0.0,0.16600102,0.76545906,0.3712498,0.6335539,0.4633017,0.9738216,0.4875515,0.49562544,0.0,0.20133236,0.3586679,0.11026356,0.16061148,0.3839536,0.12760527,0.8212132,0.03275316,0.96245587,0.9121909,0.19973385,0.14829808,0.0,0.07532436,0.5468732,0.8728492,0.46365395,0.3762683,0.1908532,0.15747759,0.626558,0.09855571,0.17067806,0.17548305,0.85212433,0.2778646,0.8194452,0.078753315,0.70648944,0.0,0.05548338,0.7210943,0.4645781,0.15506168,0.34367794,0.35694486,0.94100255,0.15166911,0.12130222,0.9282033,0.96656966,0.4721886,0.15892455,0.19869901,0.19756323,0.19675866,0.15861316,0.8417062,0.65330714,0.59139663,0.0,0.8545073,0.61507726,0.0,0.43917486,0.0,0.07438022,0.15231004,0.4872698,0.3336456,0.56507635,0.19381067,0.043979947,0.18119693,0.6315145,0.788887,0.8326812,0.19374661,0.580572,0.0,0.92988926,0.018061476,0.8337167,0.14613208
300ccb51-269e-4dad-bbd7-bc4d6f1214bf,0.97747636,0.14823103,0.61847305,0.11922761,0.29618454,0.0,0.35554323,0.23083177,0.17883518,0.2816516,0.12270031,0.9999999,0.27950016,0.2656468,0.95981,0.31568018,0.0,0.76079786,0.56692064,0.39164013,0.31770882,0.50749683,0.12599878,0.32693818,0.0,0.66017246,0.33173335,0.50749034,0.8815618,0.498142,0.9345021,0.9767252,0.2827383,0.27474135,0.10000723,0.20716834,0.36859146,0.90007675,0.0,0.9082682,0.31936926,0.44040117,0.9044745,0.32146776,0.7426959,0.91224706,0.39600384,0.67908233,0.5589771,0.65399736,0.27069354,0.09289401,0.32900238,0.6984487,0.32653484,0.5393913,0.21331196,0.3818825,0.0,0.5365365,0.8736949,0.087594494,0.29400754,0.49607748,0.99984705,0.0,0.11212321,0.5948923,0.97800136,0.3273944,0.5246031,0.49296597,0.4965561,0.278235,0.56402737,0.30065316,0.6628617,0.5398833,0.42946273,0.6350367,0.6165856,0.6473876,0.24511108,0.4729626,0.5320293,0.61955947,0.34302607,0.3193399,0.33721077,0.48644096,0.74613166,0.29689273,0.25308746,0.44692808,0.22571523,0.0,0.0,0.7496292,0.27061763,0.60875434
31029486-3cd3-4020-ad98-4aff05d029d1,0.36264175,0.16728766,0.19194564,0.65932214,0.46796697,0.0,0.7778115,0.5702748,0.7930855,0.44500512,0.16963151,0.27950016,1.0,0.4097245,0.27900118,0.68711644,0.46133322,0.58549976,0.42899233,0.78379464,0.4840473,0.63675296,0.18485638,0.7795318,0.3974393,0.20770936,0.7730969,0.67923343,0.45993537,0.6394835,0.23564658,0.29067323,0.418802,0.5177393,0.21726358,0.05047501,0.9044363,0.4677363,0.45947155,0.23397548,0.62501395,0.11959526,0.24561895,0.78303415,0.25261727,0.4688217,0.485839,0.5461884,0.6894352,0.65885085,0.499472,0.58041286,0.4843765,0.4919714,0.5041945,0.1406179,0.6434201,0.1485681,0.43118855,0.6055138,0.35450587,0.6542448,0.08660679,0.5981591,0.27631542,0.030703193,0.16449915,0.42448026,0.43097103,0.80824685,0.82248884,0.814906,0.7000897,0.09520151,0.39173102,0.59243464,0.134359,0.159712,0.4840129,0.14333545,0.110984325,0.14085317,0.75400615,0.7545521,0.14009966,0.12658116,0.619401,0.98616993,0.5350647,0.72587085,0.43781424,0.52427244,0.45440257,0.76754284,0.60518444,0.50577605,0.0,0.20072505,0.48587686,0.6052284
331a2b18-7771-4c8f-babb-5457498c239b,0.3030044,0.75485283,0.0,0.4802842,0.9434564,0.6856965,0.60235953,0.9185795,0.23018739,0.64550006,0.8609568,0.2656468,0.4097245,1.0,0.40606624,0.21358223,0.0,0.38754827,0.92193186,0.6151873,0.67101586,0.6884464,0.8591631,0.7504585,0.37108555,0.0,0.4862941,0.52015287,0.23872116,0.38793772,0.43398696,0.27626607,0.9698377,0.07091075,0.79648054,0.6944695,0.47443178,0.3410592,0.0,0.1630776,0.5909211,0.69283074,0.4957925,0.5900148,0.18499589,0.3600684,0.63734025,0.23804945,0.410142,0.42003763,0.95071745,0.32964328,0.9046962,0.19350547,0.770017,0.0,0.13401341,0.51473033,0.32700008,0.37453282,0.41715744,0.39565876,0.732008,0.36407137,0.26261988,0.6649189,0.76283,0.46869144,0.35733595,0.47993356,0.4771902,0.4731726,0.383111,0.5959323,0.7599832,0.66513073,0.0,0.6912135,0.6554462,0.0,0.2946838,0.0,0.17965645,0.37082002,0.35704434,0.2447201,0.6745527,0.46812636,0.0952168,0.43609497,0.81241316,0.9828367,0.98823714,0.4696589,0.6106488,0.0,0.6434124,0.039103184,0.9753099,0.35098678
37bb059b-5e8d-42e0-9849-022dce333f74,0.95262617,0.34265906,0.5882606,0.18791804,0.4427764,0.21681939,0.39370418,0.37109697,0.17851593,0.3921286,0.31587273,0.95981,0.27900118,0.40606624,1.0,0.35721725,0.016769461,0.7446904,0.6893141,0.41974714,0.41729164,0.5787369,0.34233183,0.4002137,0.10436972,0.61770356,0.36774093,0.559909,0.85905397,0.49725276,0.96801233,0.96396875,0.43727636,0.26297414,0.31393498,0.3905064,0.3824571,0.8986271,0.010083706,0.90336186,0.3943042,0.62634283,0.965377,0.3546722,0.7463559,0.8918942,0.47985956,0.65835094,0.5579793,0.6588191,0.42008403,0.14885312,0.4564812,0.6939481,0.4296639,0.553306,0.24655186,0.5123677,0.117580876,0.53557867,0.9057132,0.1487982,0.49245402,0.5198829,0.9586185,0.22460727,0.2995835,0.6742848,0.94238293,0.3397103,0.51306605,0.49573696,0.49566966,0.46292818,0.68244636,0.40377504,0.6300608,0.6850856,0.51756173,0.5941848,0.674327,0.62682825,0.2446735,0.48809218,0.60029286,0.65437084,0.42479894,0.3187698,0.34145427,0.48557258,0.82912374,0.4183944,0.40309733,0.467569,0.33203918,0.012506951,0.21781415,0.7068344,0.4056757,0.6138683
389a7839-5278-4984-bbc6-7d40b80eec74,0.35020652,0.15842085,0.46415755,0.690114,0.26611966,0.020582302,0.45051062,0.38498747,0.8346543,0.25517076,0.08842595,0.31568018,0.68711644,0.21358223,0.35721725,0.9999998,0.72021013,0.5574336,0.3318324,0.40857852,0.28970695,0.5818988,0.17048734,0.4308356,0.61774004,0.4034823,0.49407578,0.5678595,0.6125688,0.58015996,0.30709612,0.3653385,0.29593697,0.7778444,0.11325571,0.06724111,0.68305194,0.46506932,0.7135536,0.39503866,0.51237684,0.13507633,0.27741322,0.40818202,0.46259657,0.50852567,0.31413183,0.63158196,0.5638034,0.57831496,0.25724787,0.7682799,0.252497,0.6104411,0.2628278,0.44999075,0.94327533,0.26658267,0.60999703,0.58569455,0.35932887,0.6933881,0.09781766,0.6487079,0.31208318,0.0,0.085750535,0.46796852,0.381918,0.42132503,0.54840004,0.50990456,0.57220304,0.15386766,0.43612334,0.34306163,0.4362472,0.16824463,0.2755463,0.41095045,0.35944593,0.41505128,0.87480456,0.8184991,0.3793581,0.39114174,0.3587588,0.6669288,0.7702936,0.56015646,0.37494093,0.2732941,0.23313203,0.53347564,0.5112338,0.7611256,0.0,0.41463843,0.21545611,0.6253054
3d14145a-752d-4dd5-907f-f375242af193,0.015928363,0.0,0.3288033,0.80000615,0.0,0.0,0.0,0.19913909,0.86720335,0.0,0.0,0.0,0.46133322,0.0,0.016769461,0.72021013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83439255,0.28361398,0.011223023,0.01040554,0.43281645,0.0,0.0,0.0,0.0,0.9336858,0.022555938,0.0,0.3256052,0.029675307,0.97671187,0.15512465,0.3804165,0.03414449,0.02804972,0.0,0.28150973,0.0,0.05433042,0.29300618,0.0,0.0,0.0,0.9061566,0.0,0.20486695,0.0,0.2944074,0.84881616,0.20948432,0.8396697,0.0,0.0,0.8396441,0.018544704,0.0,0.0,0.02812352,0.0,0.19044028,0.0,0.013845288,0.10679193,0.10236862,0.0,0.13190326,0.16910419,0.0,0.28130332,0.0,0.01090941,0.30009705,0.23236449,0.31596425,0.82233614,0.35811794,0.29332238,0.2650191,0.0,0.39356464,0.93314326,0.0,0.0,0.0,0.009012967,0.013148026,0.417874,0.9698138,0.020327656,0.25058496,0.0,0.0770563
3e64ba62-388a-44c4-9030-88a74444d90a,0.80288404,0.26061153,0.3958728,0.17691277,0.43948573,0.0,0.6922779,0.3546024,0.35121167,0.41792136,0.16600102,0.76079786,0.58549976,0.38754827,0.7446904,0.5574336,0.0,1.0,0.57947886,0.7133024,0.4595393,0.8807132,0.17753345,0.6420688,0.0,0.4225638,0.6847842,0.89262474,0.66602457,0.9388899,0.69896245,0.74294025,0.401025,0.20608208,0.19640265,0.15801004,0.686337,0.9216037,0.0,0.65087616,0.4320741,0.3303426,0.67844164,0.6851051,0.5506549,0.93551475,0.5011085,0.68743634,0.9354881,0.96203756,0.40166152,0.13783833,0.46468621,0.75978804,0.47674716,0.3521591,0.39099202,0.23952241,0.0,0.9522287,0.73440444,0.1299748,0.2296539,0.9138475,0.75644624,0.0,0.15798265,0.5545865,0.847576,0.7108333,0.8162242,0.78398013,0.9284159,0.17355551,0.52517414,0.50024074,0.41870242,0.4102713,0.5263269,0.4064749,0.40465617,0.41981497,0.43858144,0.8639723,0.34054178,0.41024294,0.5688715,0.64108324,0.24904868,0.92150444,0.68643194,0.48169386,0.396465,0.86329854,0.3743242,0.0,0.0,0.50457215,0.3921007,0.9622019
3fe7f558-21bf-4ff6-8746-47c0323cafb0,0.60403967,0.6856849,0.23658758,0.43879962,0.9078677,0.5924881,0.6350788,0.85601854,0.24792296,0.66378117,0.76545906,0.56692064,0.42899233,0.92193186,0.6893141,0.3318324,0.0,0.57947886,1.0,0.64247775,0.69213,0.7582414,0.79494846,0.76889133,0.3131399,0.2396981,0.54201186,0.6159821,0.51722693,0.4963578,0.71571696,0.59631836,0.9300444,0.17301121,0.7006378,0.6917384,0.52923554,0.5928064,0.022173401,0.47136706,0.64040375,0.7364266,0.7296644,0.59951544,0.42471617,0.6268294,0.6798204,0.4529273,0.52583975,0.5816583,0.9000249,0.31735295,0.88258874,0.42911375,0.76206386,0.23941973,0.23687682,0.5706473,0.28980613,0.4895496,0.67765117,0.3599653,0.7164879,0.497694,0.5647466,0.5609253,0.6859925,0.6532135,0.63312376,0.50250304,0.5714251,0.55707085,0.48264667,0.6032405,0.862157,0.6921886,0.25532082,0.7845092,0.71446234,0.2305717,0.47183233,0.23467079,0.23058034,0.4800499,0.492127,0.43196633,0.6979501,0.49014056,0.19621131,0.5218288,0.9538419,0.9148334,0.9147433,0.5445428,0.59975135,0.015715403,0.5414317,0.30168825,0.9048572,0.49731523
415c5186-549e-44e9-9132-6d158175f5c1,0.48077816,0.35473466,0.0,0.28155518,0.71732104,0.14437337,0.9849304,0.5672526,0.45861098,0.7357871,0.3712498,0.39164013,0.78379464,0.6151873,0.41974714,0.40857852,0.0,0.7133024,0.64247775,0.9999999,0.7820865,0.79749805,0.37724486,0.90476036,0.074797094,0.0,0.9180304,0.83640766,0.35194397,0.7536049,0.37252408,0.407296,0.6233461,0.10454293,0.3929956,0.20903578,0.89989364,0.58743227,0.0,0.2404235,0.7070515,0.30443484,0.4015261,0.98846847,0.21268734,0.59852755,0.74958265,0.47535676,0.75865316,0.74032503,0.66382706,0.21936855,0.76148635,0.38263828,0.8006836,0.0,0.27885312,0.1074868,0.07781542,0.7164737,0.5464133,0.21547268,0.2629355,0.707129,0.38717762,0.1472302,0.39598522,0.5530118,0.5668453,0.94830394,0.91285527,0.91492987,0.75216997,0.13522884,0.4633897,0.8306332,0.0,0.35993057,0.7769631,0.0,0.076028585,0.0,0.34367916,0.6955681,0.0719803,0.054195642,0.899256,0.86185014,0.14037709,0.8548975,0.6329477,0.7307526,0.6360013,0.90484846,0.67738587,0.0,0.15297565,0.057649393,0.6217537,0.68073666
4389ea33-33a4-4982-a079-831f1db05fe0,0.3612554,0.604426,0.011688499,0.30589956,0.8220887,0.4469837,0.7859032,0.62481296,0.2724323,0.9629005,0.6335539,0.31770882,0.4840473,0.67101586,0.41729164,0.28970695,0.0,0.4595393,0.69213,0.7820865,1.0,0.60891056,0.63153535,0.6941217,0.22884041,0.0,0.60642344,0.7121854,0.28550625,0.4583085,0.3973752,0.34456968,0.69367826,0.084808,0.57411176,0.48495638,0.57923305,0.40508765,0.0,0.1950379,0.87061083,0.5607705,0.45469055,0.77323353,0.28384277,0.44178578,0.96954805,0.29685485,0.48480672,0.49671307,0.7880043,0.23833603,0.9083817,0.22819233,0.98344296,0.0,0.1759145,0.33714032,0.2415533,0.44247198,0.60445213,0.24908592,0.5379385,0.46054345,0.31408873,0.45702943,0.7345909,0.7216699,0.42550126,0.56699204,0.5637511,0.5592663,0.4526062,0.42138267,0.49774536,0.97386587,0.013846071,0.6062313,0.971087,0.0,0.23954675,0.0,0.21224561,0.4377157,0.22344,0.16581061,0.9733422,0.55304307,0.11387761,0.5153986,0.63816226,0.70348084,0.6826621,0.5546408,0.8783205,0.015269438,0.47981954,0.046766713,0.6792739,0.41490415
43d36f77-a78c-4e8e-bc41-245cc7f02ef2,0.57205534,0.5110134,0.20672105,0.32527632,0.70202625,0.2795394,0.8099931,0.6563729,0.36969554,0.55372393,0.4633017,0.50749683,0.63675296,0.6884464,0.5787369,0.5818988,0.0,0.8807132,0.7582414,0.79749805,0.60891056,1.0000001,0.5027146,0.841377,0.1505171,0.20424621,0.7879392,0.92648244,0.44264412,0.9155059,0.54016244,0.5174354,0.71868217,0.13546929,0.47887528,0.36839297,0.7490089,0.73826545,0.0,0.39706922,0.53221285,0.4502725,0.55091363,0.78887236,0.37147376,0.76779735,0.59790504,0.5663474,0.90228564,0.8984449,0.6939957,0.23514412,0.6940076,0.60355675,0.6487267,0.17522246,0.39339945,0.3241648,0.13255037,0.9140521,0.5837357,0.2562206,0.4208872,0.920868,0.50171417,0.27054518,0.4149168,0.5218698,0.637069,0.7700364,0.8115167,0.7840767,0.90411514,0.32239327,0.6357935,0.6579896,0.2165464,0.49256307,0.61491364,0.19646962,0.3223622,0.20685771,0.42397666,0.8466041,0.3096064,0.30735093,0.7111852,0.7005702,0.16317862,0.91666126,0.7682314,0.7647916,0.7002131,0.885378,0.5205694,0.020086588,0.26109523,0.26951846,0.68045205,0.88788056
4474409e-95f6-4e6c-b07f-8ea510b81e90,0.14192137,0.9340483,0.018541967,0.4165162,0.8342498,0.93428624,0.38542324,0.8067917,0.10463089,0.6347826,0.9738216,0.12599878,0.18485638,0.8591631,0.34233183,0.17048734,0.0,0.17753345,0.79494846,0.37724486,0.63153535,0.5027146,1.0000001,0.532261,0.48058814,0.0,0.27003384,0.3739821,0.13171387,0.1750268,0.39690176,0.17346619,0.863967,0.033633642,0.9399937,0.8863285,0.24377978,0.15730506,0.0,0.09944904,0.5280628,0.84528816,0.45397303,0.38161314,0.18241788,0.18847218,0.6035718,0.13218628,0.18546697,0.20818189,0.8633785,0.29183257,0.80571496,0.11745462,0.6879143,0.060372014,0.11317463,0.7012803,0.4488755,0.16897887,0.3652832,0.35502794,0.9133129,0.21253231,0.124563105,0.8990067,0.93062073,0.49615848,0.16652736,0.21653278,0.21529506,0.2138974,0.17284912,0.81424856,0.6961404,0.6127918,0.021964617,0.8279797,0.59387934,0.0,0.42368186,0.0,0.08105604,0.18734165,0.47260332,0.32281268,0.57258,0.21120569,0.045162234,0.197067,0.66728795,0.7943232,0.84235907,0.22342272,0.55885816,0.024222564,0.8987171,0.018547012,0.83157635,0.15875122
46ed7332-a6b6-4f08-ae6b-4ce2687249fc,0.43397996,0.44419467,0.033678528,0.39663014,0.78127825,0.2784317,0.9224616,0.7636335,0.41727346,0.6324481,0.4875515,0.32693818,0.7795318,0.7504585,0.4002137,0.4308356,0.0,0.6420688,0.76889133,0.90476036,0.6941217,0.841377,0.532261,1.0,0.14985609,0.034859866,0.8935813,0.7815971,0.29380012,0.70774156,0.37953722,0.36040804,0.78544563,0.113453135,0.5036563,0.37196362,0.84583694,0.52280605,0.031038033,0.2007037,0.6492653,0.37071776,0.39073682,0.8986057,0.17824876,0.550054,0.6436773,0.46018267,0.725396,0.7054347,0.8004501,0.25966862,0.7890761,0.38820446,0.7351535,0.0,0.30693758,0.23407605,0.16902785,0.66106534,0.45614162,0.3345674,0.36216927,0.69244325,0.3232129,0.28477028,0.44256297,0.4837572,0.494035,0.8735738,0.84225976,0.84103703,0.7220917,0.2612036,0.57332283,0.7727023,0.019947613,0.4250133,0.6823739,0.0,0.119002655,0.0,0.35107592,0.6462127,0.14163741,0.10043748,0.81056625,0.83469296,0.11718571,0.785805,0.72184825,0.8424177,0.78162265,0.8367623,0.5979219,0.043996427,0.25818196,0.06737538,0.78022,0.6251011
47627f78-25a8-49b8-baed-67cc7cb51cc3,0.0,0.49016386,0.30626467,0.89488447,0.33631408,0.505635,0.065813825,0.5303453,0.7326184,0.2581969,0.49562544,0.0,0.3974393,0.37108555,0.10436972,0.61774004,0.83439255,0.0,0.3131399,0.074797094,0.22884041,0.1505171,0.48058814,0.14985609,0.99999994,0.25216508,0.015205402,0.09163597,0.374739,0.0,0.14987136,0.0,0.34829074,0.80084276,0.48704505,0.47834054,0.276301,0.0,0.8284298,0.11614607,0.521503,0.43802744,0.18882686,0.085953385,0.30945462,0.012364342,0.29443616,0.2791241,0.022279479,0.0,0.36268276,0.9154507,0.33073676,0.18215002,0.2653263,0.2617617,0.7263222,0.5902119,0.9728116,0.0,0.12855513,0.8799543,0.48365837,0.0,0.0,0.49805903,0.47722113,0.34590286,0.0,0.0,0.09495018,0.09307037,0.0,0.54505885,0.4338754,0.20455882,0.27209842,0.4198958,0.23464055,0.30070236,0.44271106,0.2836037,0.73495394,0.30389056,0.5215939,0.44096872,0.18343522,0.33718145,0.7828965,0.0,0.24192825,0.3201986,0.35412276,0.0,0.55609393,0.83087546,0.49917564,0.23473419,0.3555839,0.05480946
4be287a3-4af7-4b0f-93da-1215dbbe7007,0.6384913,0.062091757,0.9787054,0.30369172,0.0,0.0,0.0,0.11896041,0.2383544,0.0,0.0,0.66017246,0.20770936,0.0,0.61770356,0.4034823,0.28361398,0.4225638,0.2396981,0.0,0.0,0.20424621,0.0,0.034859866,0.25216508,1.0000001,0.0,0.23229595,0.6981883,0.22822648,0.6503761,0.6233556,0.0,0.4923082,0.0,0.14571422,0.1091699,0.5786951,0.2842349,0.83627665,0.10641511,0.29593253,0.60777193,0.0,0.9275514,0.56246114,0.17123102,0.8176433,0.295846,0.37531942,0.04440426,0.3095265,0.0,0.8339917,0.0,0.8408841,0.36282805,0.6283376,0.27151898,0.27469087,0.5482545,0.3320813,0.1875162,0.22967303,0.6647364,0.018993381,0.0,0.55893916,0.5971931,0.0,0.30764773,0.24834105,0.2670493,0.4174464,0.532959,0.026714353,0.9569016,0.34579948,0.11031134,0.9458039,0.85820377,0.95224524,0.3811359,0.3512073,0.833658,0.8926736,0.0,0.17024852,0.47043937,0.17609131,0.3869106,0.0,0.014202905,0.13294727,0.13370527,0.3278624,0.0,0.9841134,0.044885054,0.4169016
4cd53847-8857-4983-ab6f-bbf44a1f863e,0.43786198,0.19557226,0.039867904,0.24594013,0.555421,0.0,0.9500952,0.5042912,0.4527377,0.544013,0.20133236,0.33173335,0.7730969,0.4862941,0.36774093,0.49407578,0.011223023,0.6847842,0.54201186,0.9180304,0.60642344,0.7879392,0.27003384,0.8935813,0.015205402,0.0,0.9999999,0.78224623,0.29810926,0.74585426,0.27968436,0.37949386,0.5633437,0.08855165,0.26724288,0.059907813,0.92160296,0.5674838,0.006748557,0.21892095,0.52403593,0.1632371,0.3090116,0.91555315,0.1585212,0.5952172,0.55712664,0.52656746,0.75882274,0.712687,0.5369046,0.18726474,0.57489705,0.38325232,0.5984187,0.0,0.32286835,0.011875461,0.024212748,0.7066948,0.44179398,0.16426183,0.114356026,0.77114546,0.32795343,0.017537244,0.19524086,0.39584872,0.5084421,0.95065904,0.900396,0.9261668,0.7461599,0.016450427,0.36907452,0.68448937,0.05172491,0.18955909,0.59336245,0.027723597,0.0,0.03064892,0.36197066,0.6857827,0.0,0.02203472,0.7611918,0.8426578,0.13228121,0.8463188,0.5691222,0.6197926,0.51769197,0.9036939,0.5096915,0.03720143,0.012675905,0.058597345,0.49056065,0.68125236
4ce2d3cb-b864-40e5-96a5-3e0877928c39,0.5832434,0.44733408,0.21562292,0.26603016,0.62029773,0.18124554,0.8404716,0.5187292,0.37312025,0.6696596,0.3586679,0.50749034,0.67923343,0.52015287,0.559909,0.5678595,0.01040554,0.89262474,0.6159821,0.83640766,0.7121854,0.92648244,0.3739821,0.7815971,0.09163597,0.23229595,0.78224623,0.99999994,0.442232,0.93173355,0.5076535,0.50751925,0.5422805,0.13546756,0.39231348,0.27772063,0.7436589,0.763487,0.006256993,0.41381675,0.6281542,0.40962374,0.53246355,0.8407134,0.4231683,0.7660403,0.72072065,0.56585574,0.93384135,0.9275712,0.6064066,0.18573773,0.6669271,0.6366441,0.7135371,0.18052992,0.38942075,0.26883858,0.12066386,0.9306333,0.64367867,0.21956152,0.3466704,0.91698426,0.5017078,0.21137781,0.39963543,0.6175029,0.63929266,0.78713477,0.82194805,0.8026346,0.9383165,0.28385997,0.50432456,0.76449776,0.21372263,0.4481666,0.7330554,0.20242067,0.30787012,0.22530189,0.45280004,0.86196864,0.2604366,0.28090855,0.7987575,0.7317051,0.17501152,0.93111396,0.64008343,0.6141207,0.5529362,0.9062836,0.6328127,0.024144176,0.20893498,0.2874916,0.54736227,0.91279435
